,ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,MemberClass
96,100005,beam,M5,L40x4,A36,-0.55,-0.55,48.0,0.55,0.55,48.0,horizontal
97,100006,beam,M6,L40x4,A36,0.55,-0.55,48.0,-0.55,0.55,48.0,horizontal
98,100007,beam,M7,L40x4,A36,-0.55,-0.55,48.0,0.55,-0.55,48.0,horizontal
99,100008,beam,M8,L40x4,A36,0.55,-0.55,48.0,0.55,0.55,48.0,horizontal
100,100009,beam,M9,L40x4,A36,0.55,0.55,48.0,-0.55,0.55,48.0,horizontal
101,100010,beam,M10,L40x4,A36,-0.55,0.55,48.0,-0.55,-0.55,48.0,horizontal
102,100023,beam,M23,L40x4,A36,-0.55,-0.55,45.85,0.55,-0.55,45.85,horizontal
103,100024,beam,M24,L40x4,A36,0.55,-0.55,45.85,0.55,0.55,45.85,horizontal
104,100025,beam,M25,L40x4,A36,0.55,0.55,45.85,-0.55,0.55,45.85,horizontal
105,100026,beam,M26,L40x4,A36,-0.55,0.55,45.85,-0.55,-0.55,45.85,horizontal
106,100039,beam,M39,L40x4,A36,-0.55,-0.55,43.7,0.55,-0.55,43.7,horizontal
107,100040,beam,M40,L40x4,A36,0.55,-0.55,43.7,0.55,0.55,43.7,horizontal
108,100041,beam,M41,L40x4,A36,0.55,0.55,43.7,-0.55,0.55,43.7,horizontal
109,100042,beam,M42,L40x4,A36,-0.55,0.55,43.7,-0.55,-0.55,43.7,horizontal
110,100055,beam,M55,L40x4,A36,-0.55,-0.55,41.55,0.55,-0.55,41.55,horizontal
111,100056,beam,M56,L40x4,A36,0.55,-0.55,41.55,0.55,0.55,41.55,horizontal
112,100057,beam,M57,L40x4,A36,0.55,0.55,41.55,-0.55,0.55,41.55,horizontal
113,100058,beam,M58,L40x4,A36,-0.55,0.55,41.55,-0.55,-0.55,41.55,horizontal
114,100071,beam,M71,L40x4,A36,-0.55,-0.55,39.5,0.55,-0.55,39.5,horizontal
115,100072,beam,M72,L40x4,A36,0.55,-0.55,39.5,0.55,0.55,39.5,horizontal
