ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Leg_Start,Leg_End
00100011,beam,M11,L40x4,A36,-0.55,-0.55,45.85,0.55,-0.55,46.925,"{'ID': '00100001', 'Type': 'beam', 'PieceMark': 'M1', 'Section': 'L80x6', 'Material': 'A36', 'StartX': -0.55, 'StartY': -0.55, 'StartZ': 45.85, 'EndX': -0.55, 'EndY': -0.55, 'EndZ': 48.0}","{'ID': '00100002', 'Type': 'beam', 'PieceMark': 'M2', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': -0.55, 'StartZ': 45.85, 'EndX': 0.55, 'EndY': -0.55, 'EndZ': 48.0}"
00100012,beam,M12,L40x4,A36,0.55,-0.55,45.85,0.55,0.55,46.925,"{'ID': '00100002', 'Type': 'beam', 'PieceMark': 'M2', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': -0.55, 'StartZ': 45.85, 'EndX': 0.55, 'EndY': -0.55, 'EndZ': 48.0}","{'ID': '00100003', 'Type': 'beam', 'PieceMark': 'M3', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': 0.55, 'StartZ': 45.85, 'EndX': 0.55, 'EndY': 0.55, 'EndZ': 48.0}"
00100013,beam,M13,L40x4,A36,0.55,0.55,45.85,-0.55,0.55,46.925,"{'ID': '00100003', 'Type': 'beam', 'PieceMark': 'M3', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': 0.55, 'StartZ': 45.85, 'EndX': 0.55, 'EndY': 0.55, 'EndZ': 48.0}","{'ID': '00100004', 'Type': 'beam', 'PieceMark': 'M4', 'Section': 'L80x6', 'Material': 'A36', 'StartX': -0.55, 'StartY': 0.55, 'StartZ': 45.85, 'EndX': -0.55, 'EndY': 0.55, 'EndZ': 48.0}"
00100014,beam,M14,L40x4,A36,-0.55,0.55,45.85,-0.55,-0.55,46.925,"{'ID': '00100004', 'Type': 'beam', 'PieceMark': 'M4', 'Section': 'L80x6', 'Material': 'A36', 'StartX': -0.55, 'StartY': 0.55, 'StartZ': 45.85, 'EndX': -0.55, 'EndY': 0.55, 'EndZ': 48.0}","{'ID': '00100001', 'Type': 'beam', 'PieceMark': 'M1', 'Section': 'L80x6', 'Material': 'A36', 'StartX': -0.55, 'StartY': -0.55, 'StartZ': 45.85, 'EndX': -0.55, 'EndY': -0.55, 'EndZ': 48.0}"
00100015,beam,M15,L40x4,A36,0.55,-0.55,46.925,-0.55,-0.55,48.0,"{'ID': '00100002', 'Type': 'beam', 'PieceMark': 'M2', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': -0.55, 'StartZ': 45.85, 'EndX': 0.55, 'EndY': -0.55, 'EndZ': 48.0}","{'ID': '00100001', 'Type': 'beam', 'PieceMark': 'M1', 'Section': 'L80x6', 'Material': 'A36', 'StartX': -0.55, 'StartY': -0.55, 'StartZ': 45.85, 'EndX': -0.55, 'EndY': -0.55, 'EndZ': 48.0}"
00100016,beam,M16,L40x4,A36,0.55,0.55,46.925,0.55,-0.55,48.0,"{'ID': '00100003', 'Type': 'beam', 'PieceMark': 'M3', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': 0.55, 'StartZ': 45.85, 'EndX': 0.55, 'EndY': 0.55, 'EndZ': 48.0}","{'ID': '00100002', 'Type': 'beam', 'PieceMark': 'M2', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': -0.55, 'StartZ': 45.85, 'EndX': 0.55, 'EndY': -0.55, 'EndZ': 48.0}"
00100017,beam,M17,L40x4,A36,-0.55,0.55,46.925,0.55,0.55,48.0,"{'ID': '00100004', 'Type': 'beam', 'PieceMark': 'M4', 'Section': 'L80x6', 'Material': 'A36', 'StartX': -0.55, 'StartY': 0.55, 'StartZ': 45.85, 'EndX': -0.55, 'EndY': 0.55, 'EndZ': 48.0}","{'ID': '00100003', 'Type': 'beam', 'PieceMark': 'M3', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': 0.55, 'StartZ': 45.85, 'EndX': 0.55, 'EndY': 0.55, 'EndZ': 48.0}"
00100018,beam,M18,L40x4,A36,-0.55,-0.55,46.925,-0.55,0.55,48.0,"{'ID': '00100001', 'Type': 'beam', 'PieceMark': 'M1', 'Section': 'L80x6', 'Material': 'A36', 'StartX': -0.55, 'StartY': -0.55, 'StartZ': 45.85, 'EndX': -0.55, 'EndY': -0.55, 'EndZ': 48.0}","{'ID': '00100004', 'Type': 'beam', 'PieceMark': 'M4', 'Section': 'L80x6', 'Material': 'A36', 'StartX': -0.55, 'StartY': 0.55, 'StartZ': 45.85, 'EndX': -0.55, 'EndY': 0.55, 'EndZ': 48.0}"
00100027,beam,M27,L40x4,A36,-0.55,-0.55,43.7,0.55,-0.55,44.775,"{'ID': '00100019', 'Type': 'beam', 'PieceMark': 'M19', 'Section': 'L80x6', 'Material': 'A36', 'StartX': -0.55, 'StartY': -0.55, 'StartZ': 43.7, 'EndX': -0.55, 'EndY': -0.55, 'EndZ': 45.85}","{'ID': '00100020', 'Type': 'beam', 'PieceMark': 'M20', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': -0.55, 'StartZ': 43.7, 'EndX': 0.55, 'EndY': -0.55, 'EndZ': 45.85}"
00100028,beam,M28,L40x4,A36,0.55,-0.55,43.7,0.55,0.55,44.775,"{'ID': '00100020', 'Type': 'beam', 'PieceMark': 'M20', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': -0.55, 'StartZ': 43.7, 'EndX': 0.55, 'EndY': -0.55, 'EndZ': 45.85}","{'ID': '00100021', 'Type': 'beam', 'PieceMark': 'M21', 'Section': 'L80x6', 'Material': 'A36', 'StartX': 0.55, 'StartY': 0.55, 'StartZ': 43.7, 'EndX': 0.55, 'EndY': 0.55, 'EndZ': 45.85}"
