Section,BraceID,Length,Hole1_DistFromStart,Hole2_DistFromEnd
L40x4,100011,1.3982,0.0168,0.0168
L40x4,100012,1.3982,0.0168,0.0168
L40x4,100013,1.3982,0.0168,0.0168
L40x4,100014,1.3982,0.0168,0.0168
L40x4,100015,1.3982,0.0168,0.0168
L40x4,100016,1.3982,0.0168,0.0168
L40x4,100017,1.3982,0.0168,0.0168
L40x4,100018,1.3982,0.0168,0.0168
L40x4,100027,1.3982,0.0168,0.0168
L40x4,100028,1.3982,0.0168,0.0168
L40x4,100029,1.3982,0.0168,0.0168
L40x4,100030,1.3982,0.0168,0.0168
L40x4,100031,1.3982,0.0168,0.0168
L40x4,100032,1.3982,0.0168,0.0168
L40x4,100033,1.3982,0.0168,0.0168
L40x4,100034,1.3982,0.0168,0.0168
L40x4,100043,1.3982,0.0168,0.0168
L40x4,100044,1.3982,0.0168,0.0168
L40x4,100045,1.3982,0.0168,0.0168
L40x4,100046,1.3982,0.0168,0.0168
L40x4,100047,1.3982,0.0168,0.0168
L40x4,100048,1.3982,0.0168,0.0168
L40x4,100049,1.3982,0.0168,0.0168
L40x4,100050,1.3982,0.0168,0.0168
L40x4,100091,1.2103,0.0145,0.0145
L40x4,100092,1.2103,0.0145,0.0145
L40x4,100093,1.2103,0.0145,0.0145
L40x4,100094,1.2103,0.0145,0.0145
L40x4,100095,1.2103,0.0145,0.0145
L40x4,100096,1.2103,0.0145,0.0145
L40x4,100097,1.2103,0.0145,0.0145
L40x4,100098,1.2103,0.0145,0.0145
L40x4,100141,1.4349,0.0266,0.026
L40x4,100142,1.4349,0.0266,0.026
L40x4,100143,1.4349,0.0266,0.026
L40x4,100144,1.4349,0.0266,0.026
L40x4,100145,1.4084,0.0268,0.0261
L40x4,100146,1.4084,0.0268,0.0261
L40x4,100147,1.4084,0.0268,0.0261
L40x4,100148,1.4084,0.0268,0.0261
L40x4,100312,1.4095,0.0917,1.2687
L40x4,100313,1.4095,0.0917,1.2687
L40x4,100315,1.4095,0.0917,1.2687
L40x4,100316,1.4095,0.0917,1.2687
L40x4,100318,1.4095,0.0917,1.2687
L40x4,100319,1.4095,0.0917,1.2687
L40x4,100321,1.4095,0.0917,1.2687
L40x4,100322,1.4095,0.0917,1.2687
L40x4,100323,1.4195,1.2587,2.7256
L40x4,100324,1.4182,1.2599,2.7256
L40x4,100325,1.4538,1.2311,2.7297
L40x4,100326,1.3844,1.2957,2.7324
L40x4,100327,1.4195,1.2609,2.7281
L40x4,100328,1.4209,1.2597,2.728
L40x4,100329,1.3844,1.2957,2.7323
L40x4,100330,1.4538,1.2311,2.7296
L40x4,100336,1.3861,0.0868,1.2557
L40x4,100337,1.3861,0.0868,1.2557
L40x4,100339,1.3861,0.0868,1.2557
L40x4,100340,1.3861,0.0868,1.2557
L40x4,100342,1.3861,0.0868,1.2557
L40x4,100343,1.3861,0.0868,1.2557
L40x4,100345,1.3861,0.0868,1.2557
