PartID,Section,Length,Hole1_DistFromStart,Hole2_DistFromEnd,Quantity
1,L40x4,1.398,0.017,0.017,24
2,L40x4,1.21,0.014,0.014,8
3,L40x4,1.364,0.082,1.243,8
4,L40x4,1.386,0.087,1.256,8
5,L40x4,1.41,0.092,1.269,8
6,L40x4,1.507,0.102,1.356,8
7,L40x4,1.408,0.027,0.026,4
8,L40x4,1.435,0.027,0.026,4
9,L40x4,1.34,1.26,2.641,2
10,L40x4,1.361,1.277,2.684,2
11,L40x4,1.384,1.296,2.732,2
12,L40x4,1.417,1.214,2.666,2
13,L40x4,1.454,1.231,2.73,2
14,L40x4,1.48,1.381,2.912,2
15,L40x4,1.552,1.323,2.92,2
16,L40x4,1.378,1.234,2.649,1
17,L40x4,1.379,1.234,2.65,1
18,L40x4,1.379,1.235,2.652,1
19,L40x4,1.38,1.234,2.652,1
20,L40x4,1.397,1.247,2.686,1
21,L40x4,1.398,1.246,2.686,1
22,L40x4,1.398,1.248,2.688,1
23,L40x4,1.4,1.247,2.688,1
24,L40x4,1.418,1.26,2.726,1
25,L40x4,1.42,1.259,2.726,1
26,L40x4,1.42,1.261,2.728,1
27,L40x4,1.421,1.26,2.728,1
28,L40x4,1.434,1.222,2.696,1
29,L40x4,1.434,1.222,2.697,1
30,L40x4,1.515,1.349,2.912,1
31,L40x4,1.517,1.348,2.912,1
32,L40x4,1.517,1.35,2.914,1
33,L40x4,1.518,1.349,2.914,1
34,L40x5,1.352,0.016,0.016,8
35,L40x5,1.367,0.016,0.016,8
36,L40x5,1.446,0.029,0.028,4
37,L40x5,1.476,0.029,0.028,4
38,L40x5,1.477,0.031,0.03,4
39,L40x5,1.515,0.04,0.039,4
40,L40x5,1.54,0.036,0.036,4
41,L40x5,1.544,0.039,0.038,4
42,L40x5,1.547,0.038,0.038,4
43,L40x5,1.565,0.036,0.036,4
44,L40x5,1.575,0.038,0.037,4
45,L40x5,1.59,0.036,0.036,4
46,L40x5,1.446,0.032,0.031,3
47,L40x5,1.445,0.032,0.029,1
48,L45x4,1.438,0.094,1.305,8
49,L45x4,1.466,0.093,1.334,8
50,L45x4,1.413,1.321,2.775,2
51,L45x4,1.44,1.349,2.83,2
52,L45x4,1.491,1.278,2.805,2
53,L45x4,1.519,1.308,2.863,2
54,L45x4,1.451,1.297,2.786,1
55,L45x4,1.452,1.297,2.787,1
56,L45x4,1.452,1.298,2.788,1
57,L45x4,1.454,1.298,2.789,1
58,L45x4,1.479,1.326,2.843,1
59,L45x4,1.48,1.326,2.843,1
60,L45x4,1.48,1.327,2.845,1
61,L45x4,1.481,1.327,2.846,1
62,L45x5,1.701,0.045,0.044,4
63,L45x5,1.722,0.045,0.044,4
64,L45x5,1.744,0.045,0.044,4
65,L45x5,1.771,0.049,0.048,4
66,L45x5,1.781,0.052,0.051,4
67,L45x5,1.801,0.049,0.048,4
68,L45x5,1.814,0.052,0.05,4
69,L60x4,1.966,0.074,0.072,4
70,L60x4,1.999,0.069,0.068,4
71,L60x4,1.999,0.072,0.07,4
72,L60x4,2.001,0.073,0.072,4
73,L60x4,2.029,0.068,0.067,4
74,L60x4,2.032,0.071,0.07,4
