ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Holes,HoleCount
100001,beam,M1,L80x6,A36,-0.55,-0.55,45.85,-0.55,-0.55,48.0,[],0
100002,beam,M2,L80x6,A36,0.55,-0.55,45.85,0.55,-0.55,48.0,[],0
100003,beam,M3,L80x6,A36,0.55,0.55,45.85,0.55,0.55,48.0,[],0
100004,beam,M4,L80x6,A36,-0.55,0.55,45.85,-0.55,0.55,48.0,[],0
100019,beam,M19,L80x6,A36,-0.55,-0.55,43.7,-0.55,-0.55,45.85,[],0
100020,beam,M20,L80x6,A36,0.55,-0.55,43.7,0.55,-0.55,45.85,[],0
100021,beam,M21,L80x6,A36,0.55,0.55,43.7,0.55,0.55,45.85,[],0
100022,beam,M22,L80x6,A36,-0.55,0.55,43.7,-0.55,0.55,45.85,[],0
100035,beam,M35,L80X6,A36,-0.55,-0.55,41.55,-0.55,-0.55,43.7,[],0
100036,beam,M36,L80X6,A36,0.55,-0.55,41.55,0.55,-0.55,43.7,[],0
100037,beam,M37,L80X6,A36,0.55,0.55,41.55,0.55,0.55,43.7,[],0
100038,beam,M38,L80X6,A36,-0.55,0.55,41.55,-0.55,0.55,43.7,[],0
100051,beam,M51,L80X7,A36,-0.55,-0.55,39.5,-0.55,-0.55,41.55,[],0
100052,beam,M52,L80X7,A36,0.55,-0.55,39.5,0.55,-0.55,41.55,[],0
100053,beam,M53,L80X7,A36,0.55,0.55,39.5,0.55,0.55,41.55,[],0
100054,beam,M54,L80X7,A36,-0.55,0.55,39.5,-0.55,0.55,41.55,[],0
100067,beam,M67,L80X7,A36,-0.55,-0.55,37.5,-0.55,-0.55,39.5,[],0
100068,beam,M68,L80X7,A36,0.55,-0.55,37.5,0.55,-0.55,39.5,[],0
100069,beam,M69,L80X7,A36,0.55,0.55,37.5,0.55,0.55,39.5,[],0
100070,beam,M70,L80X7,A36,-0.55,0.55,37.5,-0.55,0.55,39.5,[],0
100083,beam,M83,L80X7,A36,-0.55,-0.55,36.0,-0.55,-0.55,37.5,[],0
100084,beam,M84,L80X7,A36,0.55,-0.55,36.0,0.55,-0.55,37.5,[],0
100085,beam,M85,L80X7,A36,0.55,0.55,36.0,0.55,0.55,37.5,[],0
100086,beam,M86,L80X7,A36,-0.55,0.55,36.0,-0.55,0.55,37.5,[],0
100099,beam,M99,L90x9,A36,-0.590625,-0.590625,33.75,-0.55,-0.55,36.0,[],0
100100,beam,M100,L90x9,A36,0.590625,-0.590625,33.75,0.55,-0.55,36.0,[],0
100101,beam,M101,L90x9,A36,0.590625,0.590625,33.75,0.55,0.55,36.0,[],0
100102,beam,M102,L90x9,A36,-0.590625,0.590625,33.75,-0.55,0.55,36.0,[],0
100117,beam,M117,L90x9,A36,-0.627639,-0.627639,31.7,-0.590625,-0.590625,33.75,[],0
100118,beam,M118,L90x9,A36,0.627639,-0.627639,31.7,0.590625,-0.590625,33.75,[],0
100119,beam,M119,L90x9,A36,0.627639,0.627639,31.7,0.590625,0.590625,33.75,[],0
100120,beam,M120,L90x9,A36,-0.627639,0.627639,31.7,-0.590625,0.590625,33.75,[],0
100133,beam,M133,L90x9,A36,-0.658333,-0.658333,30.0,-0.627639,-0.627639,31.7,[],0
100134,beam,M134,L90x9,A36,0.658333,-0.658333,30.0,0.627639,-0.627639,31.7,[],0
100135,beam,M135,L90x9,A36,0.658333,0.658333,30.0,0.627639,0.627639,31.7,[],0
100136,beam,M136,L90x9,A36,-0.658333,0.658333,30.0,-0.627639,0.627639,31.7,[],0
100149,beam,M149,L100x10,A36,-0.692639,-0.692639,28.1,-0.658333,-0.658333,30.0,[],0
100150,beam,M150,L100x10,A36,0.692639,-0.692639,28.1,0.658333,-0.658333,30.0,[],0
100151,beam,M151,L100x10,A36,0.692639,0.692639,28.1,0.658333,0.658333,30.0,[],0
100152,beam,M152,L100x10,A36,-0.692639,0.692639,28.1,-0.658333,0.658333,30.0,[],0
100165,beam,M165,L100x10,A36,-0.725139,-0.725139,26.3,-0.692639,-0.692639,28.1,[],0
100166,beam,M166,L100x10,A36,0.725139,-0.725139,26.3,0.692639,-0.692639,28.1,[],0
