Member A,Class A,Member B,Class B,Volume (m³)
158,horizontal,331,brace,2.447153e-05
168,horizontal,63,leg,N/A
392,brace,399,brace,3.586880e-09
145,horizontal,288,brace,1.083530e-05
220,brace,6,leg,N/A
138,horizontal,39,leg,N/A
392,brace,85,leg,N/A
385,brace,77,leg,N/A
349,brace,66,leg,N/A
297,brace,47,leg,N/A
447,brace,454,brace,2.630846e-06
409,brace,432,brace,1.834698e-07
427,brace,436,brace,5.071470e-09
192,horizontal,193,horizontal,6.399829e-07
47,leg,51,leg,N/A
174,horizontal,177,horizontal,9.112402e-07
323,brace,56,leg,N/A
129,horizontal,30,leg,N/A
212,brace,98,horizontal,6.400172e-07
135,horizontal,32,leg,N/A
449,brace,450,brace,2.919792e-06
2,leg,213,brace,N/A
134,horizontal,265,brace,8.669741e-06
434,brace,86,leg,N/A
81,leg,85,leg,N/A
108,horizontal,6,leg,N/A
427,brace,451,brace,3.917074e-06
377,brace,81,leg,N/A
323,brace,327,brace,1.208448e-05
126,horizontal,22,leg,N/A
118,horizontal,119,horizontal,6.400172e-07
195,horizontal,89,leg,N/A
379,brace,82,leg,N/A
396,brace,420,brace,2.453135e-06
351,brace,72,leg,N/A
412,brace,87,leg,N/A
101,horizontal,214,brace,7.853484e-06
173,horizontal,355,brace,1.198134e-06
127,horizontal,259,brace,6.103299e-07
148,horizontal,45,leg,N/A
222,brace,3,leg,N/A
281,brace,39,leg,N/A
122,horizontal,26,leg,N/A
10,leg,112,horizontal,N/A
419,brace,420,brace,2.295496e-06
147,horizontal,43,leg,N/A
381,brace,79,leg,N/A
290,brace,43,leg,N/A
354,brace,68,leg,N/A
161,horizontal,59,leg,N/A
189,horizontal,398,brace,6.265125e-06
177,horizontal,72,leg,N/A
157,horizontal,55,leg,N/A
376,brace,401,brace,1.514218e-07
427,brace,90,leg,N/A
116,horizontal,233,brace,8.128670e-06
396,brace,403,brace,3.586880e-09
11,leg,113,horizontal,N/A
178,horizontal,179,horizontal,6.400020e-07
18,leg,245,brace,N/A
154,horizontal,48,leg,N/A
127,horizontal,27,leg,N/A
365,brace,373,brace,2.177888e-06
308,brace,312,brace,6.405012e-06
160,horizontal,332,brace,8.994683e-07
413,brace,437,brace,2.976373e-06
128,horizontal,29,leg,N/A
284,brace,38,leg,N/A
186,horizontal,391,brace,6.265128e-06
402,brace,82,leg,N/A
407,brace,84,leg,N/A
156,horizontal,55,leg,N/A
441,brace,93,leg,N/A
156,horizontal,157,horizontal,6.399677e-07
371,brace,70,leg,N/A
2,leg,221,brace,N/A
337,brace,341,brace,1.721091e-05
372,brace,373,brace,2.338093e-06
113,horizontal,12,leg,N/A
250,brace,262,brace,3.808301e-06
327,brace,331,brace,1.192486e-05
201,horizontal,437,brace,3.532980e-07
325,brace,341,brace,1.268725e-05
174,horizontal,72,leg,N/A
224,brace,9,leg,N/A
379,brace,380,brace,2.265752e-06
176,horizontal,70,leg,N/A
341,brace,62,leg,N/A
255,brace,28,leg,N/A
68,leg,72,leg,N/A
409,brace,85,leg,N/A
156,horizontal,54,leg,N/A
415,brace,422,brace,2.180615e-06
405,brace,83,leg,N/A
12,leg,234,brace,N/A
158,horizontal,318,brace,9.329143e-07
405,brace,79,leg,N/A
232,brace,244,brace,3.476685e-06
442,brace,94,leg,N/A
145,horizontal,41,leg,N/A
368,brace,69,leg,N/A
272,brace,33,leg,N/A
108,horizontal,230,brace,6.399562e-07
137,horizontal,38,leg,N/A
215,brace,227,brace,3.274242e-06
423,brace,424,brace,2.972435e-06
130,horizontal,257,brace,7.727927e-06
376,brace,383,brace,3.642665e-09
379,brace,403,brace,2.500207e-06
153,horizontal,156,horizontal,1.545057e-06
432,brace,433,brace,2.688886e-06
268,brace,29,leg,N/A
450,brace,94,leg,N/A
332,brace,54,leg,N/A
21,leg,25,leg,N/A
120,horizontal,121,horizontal,6.400172e-07
104,horizontal,210,brace,6.399562e-07
375,brace,376,brace,2.265752e-06
329,brace,333,brace,1.192487e-05
408,brace,89,leg,N/A
200,horizontal,428,brace,1.186825e-06
177,horizontal,354,brace,2.866600e-05
172,horizontal,66,leg,N/A
300,brace,46,leg,N/A
330,brace,334,brace,1.192486e-05
286,brace,35,leg,N/A
295,brace,311,brace,5.994329e-06
304,brace,41,leg,N/A
381,brace,390,brace,3.653630e-09
333,brace,58,leg,N/A
360,brace,384,brace,2.280361e-06
132,horizontal,133,horizontal,6.399867e-07
157,horizontal,322,brace,1.336540e-05
308,brace,54,leg,N/A
202,horizontal,424,brace,3.696376e-07
100,horizontal,101,horizontal,6.400172e-07
10,leg,229,brace,N/A
303,brace,40,leg,N/A
279,brace,36,leg,N/A
401,brace,402,brace,2.134046e-06
430,brace,454,brace,3.917071e-06
344,brace,66,leg,N/A
404,brace,83,leg,N/A
265,brace,34,leg,N/A
441,brace,449,brace,3.967182e-06
225,brace,229,brace,3.274897e-06
2,leg,6,leg,N/A
129,horizontal,26,leg,N/A
168,horizontal,67,leg,N/A
126,horizontal,27,leg,N/A
404,brace,79,leg,N/A
197,horizontal,429,brace,7.474247e-06
150,horizontal,297,brace,1.308550e-05
179,horizontal,369,brace,4.869261e-06
102,horizontal,4,leg,N/A
5,leg,9,leg,N/A
25,leg,256,brace,N/A
189,horizontal,406,brace,5.854137e-06
202,horizontal,428,brace,3.696390e-07
378,brace,402,brace,2.500191e-06
113,horizontal,238,brace,8.128670e-06
158,horizontal,53,leg,N/A
216,brace,5,leg,N/A
255,brace,267,brace,3.497105e-06
122,horizontal,249,brace,1.104272e-06
154,horizontal,53,leg,N/A
171,horizontal,69,leg,N/A
324,brace,58,leg,N/A
315,brace,319,brace,7.726206e-06
311,brace,49,leg,N/A
188,horizontal,83,leg,N/A
378,brace,379,brace,2.124988e-06
1,leg,220,brace,N/A
425,brace,89,leg,N/A
196,horizontal,197,horizontal,6.400211e-07
191,horizontal,86,leg,N/A
105,horizontal,219,brace,6.399562e-07
142,horizontal,293,brace,1.062984e-05
200,horizontal,429,brace,1.186838e-06
162,horizontal,56,leg,N/A
198,horizontal,432,brace,1.250820e-06
86,leg,90,leg,N/A
217,brace,7,leg,N/A
2,leg,99,horizontal,N/A
125,horizontal,25,leg,N/A
414,brace,88,leg,N/A
400,brace,81,leg,N/A
80,leg,84,leg,N/A
144,horizontal,287,brace,1.083530e-05
14,leg,237,brace,N/A
119,horizontal,241,brace,6.400172e-07
112,horizontal,225,brace,7.851999e-06
112,horizontal,113,horizontal,6.400172e-07
160,horizontal,333,brace,2.447153e-05
421,brace,422,brace,2.295496e-06
279,brace,40,leg,N/A
186,horizontal,81,leg,N/A
177,horizontal,351,brace,1.231559e-06
454,brace,92,leg,N/A
380,brace,388,brace,2.381296e-06
348,brace,66,leg,N/A
411,brace,412,brace,2.298588e-06
418,brace,82,leg,N/A
353,brace,370,brace,5.043994e-07
403,brace,78,leg,N/A
46,leg,50,leg,N/A
135,horizontal,28,leg,N/A
182,horizontal,76,leg,N/A
145,horizontal,304,brace,1.266240e-05
285,brace,39,leg,N/A
107,horizontal,9,leg,N/A
410,brace,411,brace,2.177347e-06
14,leg,233,brace,N/A
199,horizontal,435,brace,1.250816e-06
214,brace,3,leg,N/A
135,horizontal,31,leg,N/A
421,brace,87,leg,N/A
151,horizontal,314,brace,1.134613e-05
131,horizontal,31,leg,N/A
200,horizontal,202,horizontal,1.545103e-06
63,leg,67,leg,N/A
117,horizontal,243,brace,6.400172e-07
219,brace,5,leg,N/A
166,horizontal,169,horizontal,9.112643e-07
363,brace,387,brace,2.280347e-06
189,horizontal,397,brace,6.265128e-06
173,horizontal,346,brace,2.419333e-05
373,brace,75,leg,N/A
120,horizontal,22,leg,N/A
431,brace,88,leg,N/A
197,horizontal,201,horizontal,1.810193e-06
204,horizontal,450,brace,7.142747e-06
174,horizontal,351,brace,2.866600e-05
335,brace,60,leg,N/A
13,leg,236,brace,N/A
31,leg,35,leg,N/A
140,horizontal,279,brace,9.967258e-06
428,brace,435,brace,5.068475e-09
167,horizontal,336,brace,2.200452e-05
196,horizontal,200,horizontal,1.810193e-06
163,horizontal,324,brace,2.508924e-05
132,horizontal,276,brace,6.212534e-07
170,horizontal,69,leg,N/A
171,horizontal,70,leg,N/A
21,leg,247,brace,N/A
181,horizontal,75,leg,N/A
137,horizontal,33,leg,N/A
426,brace,427,brace,2.687450e-06
83,leg,87,leg,N/A
200,horizontal,201,horizontal,6.400111e-07
114,horizontal,13,leg,N/A
265,brace,31,leg,N/A
207,brace,219,brace,3.274235e-06
120,horizontal,241,brace,8.276783e-06
132,horizontal,33,leg,N/A
248,brace,260,brace,3.808301e-06
144,horizontal,147,horizontal,6.399867e-07
352,brace,356,brace,2.327243e-05
175,horizontal,353,brace,1.231559e-06
409,brace,89,leg,N/A
425,brace,426,brace,2.972433e-06
446,brace,453,brace,5.051850e-09
161,horizontal,52,leg,N/A
100,horizontal,97,horizontal,1.545131e-06
76,leg,80,leg,N/A
126,horizontal,26,leg,N/A
16,leg,239,brace,N/A
381,brace,404,brace,1.514331e-07
223,brace,235,brace,3.352943e-06
324,brace,61,leg,N/A
388,brace,79,leg,N/A
288,brace,45,leg,N/A
19,leg,234,brace,N/A
446,brace,454,brace,3.967164e-06
282,brace,294,brace,4.703400e-06
167,horizontal,337,brace,1.239917e-06
116,horizontal,14,leg,N/A
289,brace,42,leg,N/A
136,horizontal,137,horizontal,6.400172e-07
151,horizontal,48,leg,N/A
144,horizontal,288,brace,6.572990e-07
103,horizontal,220,brace,7.851982e-06
22,leg,253,brace,N/A
85,leg,89,leg,N/A
110,horizontal,113,horizontal,6.400172e-07
364,brace,388,brace,2.280361e-06
305,brace,47,leg,N/A
296,brace,300,brace,6.133394e-06
170,horizontal,171,horizontal,9.112402e-07
190,horizontal,416,brace,5.189436e-06
247,brace,251,brace,4.693681e-06
217,brace,229,brace,3.274242e-06
152,horizontal,308,brace,1.280485e-06
